ArticleId,SentenceNumber,Sentence,Propaganda
111111134,19,And WikiLeaks said on Twitter that it was “willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange.” It later tweeted that Assange had instructed his lawyers to sue the Guardian for libel. ,yes
111111134,30,"An AP investigation into Russian hacking shows that government-aligned cyberspies began an aggressive effort to penetrate the Clinton campaign’s email accounts on March 10, 2016. ",yes
111111137,3,"New gun control measures for Florida have passed another legal hurdle, weeks after one of the worst school shootings in US history. ",yes
111111137,29,"Ryan Petty, whose daughter was among those killed, hailed the House's vote in a tweet. ",yes
111111137,33,"State Democratic Party legislators who backed the bill said it was necessary despite the ""poison pill"" of allowing more guns in schools under the guardian programme. ",yes
694327499,5,"Thus, it took more than a year-and-a-half for the Factory to roll out the old reliable “mistranslation” defense to explain away the infamous paragraph 303 of Amoris Laetita (AL), which reads as follows in the official English translation on the Vatican website: ",yes
694327499,12,"All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does. ",yes
694327499,26,And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow: “Pope Francis is not talking about an offering of an objectively sinful action but a gift of self that moves toward God and the objective moral norm.” ,yes
694327499,28,"So, our intrepid presenters of What the Pope Really Means® would have us believe that objectively immoral behavior, which is the best one can do according “the “concrete complexity of one’s limits,” is no longer simply objectively immoral behavior but rather a gift of self because it moves toward morally licit behavior. ",yes
694327499,33,"Do not all those ignorant critics of AL know that the Latin text employs the phrase “obiectivum exemplar,” which, translated literally into English is “objective exemplar.” They declare triumphantly: “The Latin term exemplar does not mean an unattainable ideal, it specifically means a pattern or model to follow.” ",yes
694327499,46,"So, as Fastiggi and Goldstein would have it, all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven’t consulted the Latin text—including those ignorant Vatican translators. ",yes
694327499,53,But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line. ,yes
694327499,58,"But wait, there’s more! ",yes
694327499,59,"Our dynamic translators even provide their own dynamic interpretation of AL to mean that the “offering” to God of which Francis speaks is merely the decision by a divorced and “remarried” couple with children not to end their relationship, which would be the “perfect objective model,” but rather to “live in continence until they may—after the hoped for declaration of nullity—enter into a true marriage.” That is, they would have Francis affirming John Paul II’s Familiaris consortio, which repeats the Church’s constant teaching that continence is required of those who have entered into adulterous “second marriage,” failing which they cannot be admitted to the sacraments. ",yes
694327499,72,"Quite to the contrary, confusion as a cover for the introduction of Holy Communion for “certain” public adulterers by Bergoglio’s co-conspirators in the Vatican and various dioceses is exactly what he was aiming to achieve from the beginning of the whole synodal charade, which was merely a vehicle for promulgation of AL. ",yes
694327499,75,"In a sense, what Bergoglio is doing is worse than explicit heresy, which could at least be readily identified and denounced as such. ",yes
694327499,88,"But this move demonstrates—if more evidence were needed—that Bergoglio has never been the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants. ",yes
694327499,89,That the neo-Catholic establishment refuses to recognize the grim reality of this unprecedented pontificate is but another page in the long annals of its shameful defense of the indefensible to the detriment of Holy Mother Church. ,yes
694811415,1,“It’s gotta be a set-up”: Neighbor of Las Vegas Shooter Claims He Didn’t Do It ,yes
694811415,4,A caller to the Michael Savage radio show who says he was neighbors with Las Vegas gunman Stephen Paddock asserts that Paddock could not have carried out the massacre and that it was actually a “set-up”. ,yes
694811415,6,"“I can tell you 100% this is not that kind of guy,” said Rick, adding that he would see Paddock every other day and that the two would go to a local bar and play slot machines. ",yes
694811415,8,"“I’m not a big conspiracy theory guy, but it don’t sit right,” said Rick, before making the extraordinary claim that the whole shooting was a “set up” and that Paddock’s body may have been left in the hotel room while other assailants carried out the shooting. ",yes
694811415,12,"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible. ",yes
695833178,1,Confirmed: Authorities LIED About Las Vegas Shooter’s Hotel Check-In Date – What Else Are They Hiding? ,yes
695833178,4,"From reports of multiple shooters to officials seemingly covering up the ISIS connection, many different theories have been put forth that counter the mainstream narrative. ",yes
695833178,5,"Now, new information released by investigative reporter Laura Loomer proves that authorities have directly lied to the American people about the case at least once by claiming that supposed shooter Stephen Paddock checked into the Mandalay Bay Hotel on September 28th when valet records (with photos) prove he actually arrived three days earlier. ",yes
695833178,6,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th. ",yes
695833178,7,The photo even has a handwritten note that was reportedly written by an FBI agent – proving that the FBI specifically lied to the country. ,yes
695833178,15,This throws their entire narrative into question and makes one wonder what else is being hidden from the public? ,yes
695833178,18,"As noted above, at this point literally every piece of so-called evidence put forth by authorities and then regurgitated by the mainstream media cannot be trusted and should be considered as disinformation until proven otherwise. ",yes
696246189,8,"Soon after the photos were leaked, Twitter was abuzz with chatter referencing the paper, with people spreading cover-up conspiracies and rumors that it was a suicide note. ",yes
696246189,26,"While officials did not reveal the woman’s name, they did tell reporters she was a prostitute. ",yes
696246189,27,Police are still investigating whether or not Paddock acted alone. ,yes
696246189,28,They believe he may have had an accomplice based on the elaborate planning needed to undertake such a massacre and the fact that some ammunition was purchased under someone else’s name. ,yes
696246189,33,"Officials also believe he had help because of the amount of guns in his hotel room, and because some of the ammo was bought under someone else’s name.” ",yes
696264594,5,These days it’s instead partnering with Jewish Voice for Peace: an anti-Israel BDS hate group that defends anti-Semitism and which sponsored talks by an anti-Semite who accused Jews of drinking blood. ,yes
696264594,9,"He had tweeted, ""EU no longer considers #Hamas a terrorist group. ",yes
696264594,10,"Time for US to do same."" ",yes
696264594,11,Kuttab has defended Islamic anti-Semitism by claiming that the “distrust Moslems feel towards Jews” is due to “two acts of betrayal by Jewish tribes against the Prophet.” And that Jews suffer from a “Holocaust Syndrome” of entitlement. ,yes
696264594,12,"He justified hijacking planes, described suicide bombers as “taking the supreme sacrifice” and defended Hezbollah as “an armed-resistance movement” ",yes
696264594,33,"A third AJHS-JVP event featured Efrat Yerday, an anti-Israel activist, accusing Israel of racism. ",yes
696264594,34,"Efrat has claimed that, ""Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews. ",yes
696264594,35,"Being Jewish is highly identified with being white because of Zionism."" ",yes
696264594,59,Its perversion by the radical anti-Jewish and anti-Israel left to serve anti-Semitic narratives is tragic. ,yes
696264594,61,"Even as the Myers scandal continues to simmer, the AJHS partnership with JVP is making the choice painfully clear. ",yes
696264594,66,Is co-sponsoring events with a hate group that has sponsored talks by a woman who accused Jews of drinking blood also apolitical scholarship? ,yes
696264594,70,We all have choices to make. ,yes
696264594,74,"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews. ",yes
696694316,7,"With the hindsight of 52 years and a great deal of very dirty and unappealing water under the Catholic bridge, we can see it as a kind of warning prophecy. ",yes
696694316,10,Who can read this without cringing at what we now know was about to happen: ,yes
696694316,26,"My acceptance from the reading of this document of the Church’s orthodox eucharistic doctrine was based in part on Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it. ",yes
696694316,29,The idea of transubstantiation struck me as I read that document as possibly the strangest and most earth shattering thing I’d ever heard. ,yes
696694316,30,It shocked me out of a kind of swamp of intellectual worldliness; presenting the idea to my thirsty mind that there could indeed be fantastic realities far more wonderful than the banal and painfully uninteresting secularist worldview I had been taught to accept. ,yes
696694316,31,"It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, “just around the corner”. ",yes
696694316,34,"I had been taught, by both word and implication, that everything the Catholic Church had taught before Vatican II was pernicious nonsense. ",yes
696694316,35,Where it was simply wrong it was ridiculous and where it was wrong and political it was outright wicked. ,yes
696694316,55,"This was, remember, 1965, four years before the New Mass was issued and before Cardinal Ottaviani warned the pope that it was precisely this sacramental reality that was about to be catastrophically obscured. ",yes
696694316,61,"…it is not allowable to emphasize what is called the “communal” Mass to the disparagement of Masses celebrated in private, or to exaggerate the element of sacramental sign as if the symbolism, which all certainly admit in the Eucharist, expresses fully and exhausts completely the mode of Christ’s presence in this sacrament. ",yes
696694316,63,"Nor is it allowable to discuss the mystery of transubstantiation without mentioning what the Council of Trent stated about the marvelous conversion of the whole substance of the bread into the Body and of the whole substance of the wine into the Blood of Christ, speaking rather only of what is called “transignification” and “transfiguration,” or finally to propose and act upon the opinion according to which, in the Consecrated Hosts which remain after the celebration of the sacrifice of the Mass, Christ Our Lord is no longer present. ",yes
696694316,70,The demonic forces we know are the driving force behind this supreme moment of heresy and destruction aren’t really looking at the undermining of marriage as their primary goal; they want to get at the Eucharist. ,yes
696694316,71,We know it is demonically inspired because their hatred is for Christ Himself in the first place and for anyone who loves and wants to serve Him second. ,yes
696694316,72,They are men who refuse to bend the knee before the God whom they will not serve. ,yes
696694316,80,"If the Mass were ever reduced in our minds to being merely a commemorative meal and the priest as only a community leader or functionary, then the celibacy of the Catholic Priesthood might seem extravagant.” ",yes
696694316,83,"The targeting of marriage, through the instruments of creatures like the myopic and theologically tunnel-visioned Cardinal Kasper, is demonically brilliant. ",yes
696694316,95,The few bishops with sufficient spine to stand up to the pressure of both Rome and their own national conferences – newly empowered with directives to make doctrinal declarations – will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration. ,yes
696694316,96,"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall. ",yes
696694316,103,"But whatever its flaws, Mysterium Fidei is the one I found, and I’m convinced it wasn’t an accident. ",yes
696735702,8,"As part of the constantly changing story, officials are now saying that police officers who rushed to the hotel room when the shooting began didn’t know a hotel security guard had been shot “until they met him in the hallway after exiting the elevator,” Lombardo said. ",yes
696735702,18,"What happened during the 6 minutes between Campos being shot and Paddock opening fire, and why weren’t the police rushing to the scene immediately? ",yes
696735702,28,"While we may never know the exact circumstances surrounding what transpired in the shooter’s hotel room, the information being released not just by law enforcement, but witnesses to the event who recorded hundreds of cumulative hours of video and audio, now calls the entirety official story into question. ",yes
697063039,3,"In the wake of Hurricane Maria’s wrath, Puerto Rico remains devastated. ",yes
697063039,11,"“Puerto Rico has experienced a natural disaster of a magnitude not seen in over a century, and we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis,” Rosselló wrote. ",yes
697063039,12,"“However, the unprecedented level of destruction, coupled with the almost complete shut-down of business in Puerto Rico, have made it impossible for us to meet the considerable human needs without the measures proposed above,” he added. ",yes
697063039,14,"This is devastating news for those living in Puerto Rico, as foreign ships can no longer bring aid to the hurricane-ravaged island from U.S. ports. ",yes
697063039,16,"As the days have become weeks, the weeks will become months, and survival will get more difficult. ",yes
697444415,4,"Palermo, who has done various interviews since the attack, appeared on “The Blast” with a series of shocking comments that correlate with various other reports indicating that multiple shooters carried out the attack and that the FBI is actively covering this up. ",yes
697444415,8,“When something is coming up and down or at least from a different angle they are either going to hit the ground or… alot of different things are going to happen. ,yes
697444415,10,Take note that what he means here is that people were being shot at from ground level rather than the 32nd floor of the hotel. ,yes
697444415,20,This stunning testimony is obviously a huge bombshell in the ongoing investigation of the Las Vegas mass shooting and is sure to continue to add credence to the growing belief that we are not being told what actually happened that fateful night. ,yes
697454736,12,"Mr. Ferrara, however, bases his critique upon an assumption that the “generous response” offered to God is a sin. ",yes
697454736,13,"This, though, is not what AL is saying. ",yes
697454736,31,"Pope Francis explains this again in AL 305 when he says “a small step, in the midst of great human limitations, can be more pleasing to God than a life which appears outwardly in order, but moves through the day without confronting great difficulties.’” ",yes
697454736,51,"With all due respect to Dr. Fastiggi, his argument and that of Buttiglione, that a “move away from sin” is what is pleasing to God, even if the moral norm is not adhered to, is sophistical. ",yes
697454736,66,A moral catastrophe is self-evidently underway and it is not possible honestly to deny its cause. ,yes
697454736,72,I can only ask that you to study the matter more carefully with an open heart and mind. ,yes
697454736,78,"Irony of ironies, the latter-day Pharisees and legalists Francis sees around every corner are hard at work defending Amoris Laetitia at the very moment it is being cited by bishop after bishop as their sole authority for admitting public adulterers to Holy Communion---while Francis does nothing but approve. ",yes
697454736,80,"I think you should follow your own advice about studying this matter with an open heart and mind, but above all with open eyes, for you have clearly shut them to what is going in the dioceses in the name of AL. ",yes
697454736,90,"He mentions the Holy Father's letter to the Buenos Aires bishops, but he fails to take into account that the statement of those Argentine bishops can be interpreted in an orthodox way, as Cardinal Müller told Edward Pentin in a Sept. 28 interview published in the National Catholic Register. ",yes
697454736,95,"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases. ",yes
697454736,104,He says that Dr. Goldstein and I are “foot soldiers of a Leviathan Church” because we defend the Roman Pontiff. ,yes
697454736,105,Does Mr. Ferrara believe that the Catholic Church under Pope Francis is a “Leviathan Church” and not the Catholic Church? ,yes
697454736,106,"If this is so, then it would suggest that Mr. Ferrara is refusing submission to the Roman Pontiff and communion with the members of the Church subject to him. ",yes
697454736,118,"As for my metaphorical reference to a “Leviathan Church,” I am afraid Dr. Fastiggi has succumbed to an unfortunate literal-mindedness. ",yes
697454736,123,"Dr. Fastiggi’s inapt citation to Canon 751 and his clumsy and insulting questions about my “standing in the Catholic Church” and whether I am “refusing submission to the Roman Pontiff” demonstrate a pronounced lack of comprehension of pertinent ecclesiological and theological basics, and a rather embarrassing lack of rhetorical finesse. ",yes
697454736,126,I respectfully suggest that Dr. Fastiggi’s comments evince a need for serious study and reflection before he ventures further opinions on this controversy in public. ,yes
697472447,22,There are obviously certain things that the FBI and other investigators seem intent on covering up. ,yes
697472447,30,"Police have said that when Campos radioed what happened, it helped them track where Paddock was holed up – so why change the narrative to make it even more unbelievable? ",yes
697472447,32,What exactly do they want us to believe? ,yes
697959084,3,"In yet another astonishing eyewitness report that contradicts the official story surrounding the worst mass shooting in American history, a married couple who were celebrating their 10th anniversary in Las Vegas at the time of the shooting have come forward to reveal that there was an active shooter inside the Bellagio Hotel around the same time that supposed lone gunman Stephen Paddock was found dead. ",yes
697959084,11,Jeff then describes a scene in which he and his wife were walking through the main lobby when screams and gunfire erupted. ,yes
697959084,12,"Keep in mind, this is all information that the police and the FBI has hidden from the American people. ",yes
697959084,19,Slowly but surely we are starting to see the official narrative regarding the Las Vegas Massacre be completely destroyed. ,yes
697959084,20,At this point it is strikingly obvious that authorities have lied to the American people about the worst mass shooting in our countries history. ,yes
697959084,21,One can only speculate as to what the reasons for these lies actually are? ,yes
697996062,3,"Or rather, ""Two illegal aliens caught smuggling less glamorous illegal aliens."" ",yes
697996062,7,"If you legalize them, you move closer to legalizing all illegals. ",yes
698018235,5,The American Jewish Historical Society was caught collaborating with JVP; a radical anti-Israel hate group with links to anti-Semitism. ,yes
698018235,8,These days it’s instead partnering with Jewish Voice for Peace: an anti-Israel BDS hate group that defends anti-Semitism and which sponsored talks by an anti-Semite who accused Jews of drinking blood. ,yes
698018235,10,"He had tweeted, ""EU no longer considers #Hamas a terrorist group. ",yes
698018235,11,"Time for US to do same."" ",yes
698018235,18,There's an outbreak of them at anti-Israel hate sites like the New York Times and the Forward. ,yes
698018235,21,"""Any Jew who opposes the Occupation — or opposes Zionism itself — knows that feeling of being shunned from the places that are supposed to shelter and nurture you: families, synagogues, community centers, arts organizations,"" Fishback continues. ",yes
698018235,22,"""I am terrified for the Jewish people. ",yes
698018235,25,"If our Jewish institutions — particularly the American Jewish Historical Society — cannot accommodate dissent, and effectively exclude all Jewish anti-Zionists, then they have not only lost a rapidly growing Jewish population, but they have lost a key aspect of their Jewishness."" ",yes
698018235,26,Let's unpack this knapsack of entitled nonsense. ,yes
698018235,29,"Now he's whining that boycotting his play is a violation of Jewishness because Jews are a ""people of dissent and argument."" ",yes
698018235,30,But the only dissent and argument that Jews are supposed to welcome is that of people who hate the existence of Jewish nationhood. ,yes
698018235,31,Not of Jewish nationhood itself. ,yes
698018235,34,It's resistance to a propaganda campaign intended to attack the human rights of the Jewish people. ,yes
698018235,36,Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn. ,yes
698092698,5,The words “conspiracy theorists” are being bandied about. ,yes
698092698,6,Are they for real? ,yes
698092698,8,Do the FBI and law enforcement think people won’t talk about it or speculate as to what happened? ,yes
698092698,9,Are they for real? ,yes
698092698,10,"Further, the FBI insists there is no jihad motive, while saying they don’t know his motive. ",yes
698092698,24,"That raised a number of question, including why no one called 911 after what must have been a loud volley of shots in a hotel hallway. ",yes
698092698,30,"Las Vegas police said Friday that the gunman who opened fire on a country music festival far below his hotel suite did not shoot a security guard six minutes before that rampage, contradicting a timeline they had offered earlier this week…. ",yes
698092698,47,"These Metro officers and armed Mandalay Bay security officers immediately responded to the 32nd floor.” The statement says MGM believes Paddock began firing out the window of his room within 40 seconds of Campos reporting his shooting, and Lombardo said Friday, “I agree with the statement.” These discrepancies on basic facts are feeding conspiracy theories. ",yes
698780559,1,"The Las Vegas Security Guard Credited With Finding Shooter, Mysteriously Vanished Into Thin Air ",yes
698780559,5,"But the narrative surrounding him has changed wildly since the authorities mentioned him, and now, he’s mysteriously vanished into thin air. ",yes
698780559,7,His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas. ,yes
